project,Release,Files,cloc,URL,History,Commits,Issues,Bug Issues,Fixed&Resolved Bug Issues ,linking commits,linking files,Buggy Files
Abdera,1.1.3,679,60413,http://abdera.apache.org,Jun 2006 - Apr 2017,1500,311,215,141,105,85,87
Accumulo,1.8.1,2012,467723,http://accumulo.apache.org/,Oct 2011 - Aug 2017,8935,4583,2185,1556,1468,666,848
ActiveMQ,5.5.1,4397,376968,http://activemq.apache.org/,Dec 2005 - Aug 2017,9842,6521,4427,2866,2039,890,963
Airavata,0.16,1662,743080,http://airavata.apache.org,Jul 2011 - Aug 2017,6916,2495,1200,915,346,120,161
Ambari,2.5.1,4382,470896,http://ambari.apache.org,Aug 2011 - Aug 2017,21063,21415,14978,13238,12817,2433,2042
Archiva,2.2.3,694,85360,http://archiva.apache.org/,Nov 2005 - Aug 2017,7889,1922,1113,745,540,81,116
Aries,0.4,2240,178335,http://aries.apache.org/,Sep 2009 - Aug 2017,5149,1733,1018,757,665,433,111
AsterixDB,0.2.16,4680,424561,https://asterixdb.apache.org,Jun 2010 - Aug 2017,6385,2031,1638,1004,290,147,141
Atlas,0.8,823,102285,http://incubator.apache.org/projects/atlas.html,Nov 2014 - Aug 2017,1775,1987,1228,660,552,322,295
Avro,1.8.2,551,67734,http://avro.apache.org/,Apr 2009 - Jul 2017,1579,2059,966,598,570,207,152
Axis2,1.7.6,3022,478901,http://axis.apache.org/axis2/java/core,Sep 2004 - Aug 2017,13060,5764,4421,3150,1581,1074,1694
Bigtop,1.2.1,236,156065,http://bigtop.apache.org,Jul 2011 - Jul 2017,2171,2868,1573,1214,1123,9,11
Calcite,0.4.6,1552,248934,https://calcite.apache.org,Apr 2012 - Jan 2017,2593,1934,1435,974,676,547,319
Cassandra,3.11.0,2130,324290,http://cassandra.apache.org/,Mar 2009 - Jul 2017,23230,13663,7459,4665,4106,2751,2230
Cayenne,3.2,3603,250408,http://cayenne.apache.org,Jan 2007 - Aug 2017,5481,2334,1159,798,486,157,1467
Cocoon,2.1.10,2529,195120,http://cocoon.apache.org/,Feb 2003 - Sep 2015,13149,2350,1718,1128,194,78,715
Commons-Compress,1.14,329,40493,http://commons.apache.org/compress/,Nov 2003 - Jul 2017,2341,418,235,179,152,137,257
Commons-Lang,1.1,318,75423,http://commons.apache.org/lang/,Jul 2002 - May 2017,5020,1315,594,432,290,200,4
Continuum,1.4.3,711,95881,http://continuum.apache.org,Apr 2005 - Jun 2016,4870,2724,1541,985,662,407,460
Crunch,0.15.0,703,52959,http://crunch.apache.org/,Oct 2011 - May 2017,1039,650,339,289,274,176,799
Curator,4.0.0,639,55043,http://curator.apache.org/,Jul 2011 - Jul 2017,2417,428,266,152,92,71,563
CXF,3.1.12,6934,634089,http://cxf.apache.org,Apr 2008 - Aug 2017,13328,7375,4658,3578,2511,1968,1593
DataFu,1.2.0,251,24904,http://datafu.incubator.apache.org,Sep 2011 - Aug 2017,502,126,30,18,17,6,311
DeltaSpike,1.3.0,1725,78845,http://deltaspike.apache.org/,Dec 2011 - Aug 2017,2160,1282,415,305,279,198,405
